Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,Price,DiscountPct,FinalPrice,Quantity,TotalAmount,CustomerSegment,y_true,proba,pred
Asia-Pacific,MSI,Laptop,i3,NVIDIA RTX 2060,32,256,Windows 10,Silver,Retail Store,PayPal,1461.46,10,1315.31,2,2630.62,Gamer,0,0.3575,1
North America,Razer,Desktop,M2,NVIDIA RTX 3060,4,256,macOS,Gray,Reseller,Debit Card,2922.42,5,2776.3,3,8328.9,Professional,0,0.46,1
North America,Apple,Desktop,Ryzen 5,Intel UHD,16,1024,macOS,Black,Online,Credit Card,834.47,5,792.75,3,2378.25,Professional,0,0.33,0
Europe,Asus,Laptop,Ryzen 3,NVIDIA RTX 2060,16,2048,Windows 11,Blue,Online,Debit Card,2427.74,0,2427.74,2,4855.48,Student,0,0.305,0
Europe,Dell,All-in-One,Ryzen 7,NVIDIA GTX 1650,8,2048,Windows 10,Blue,Online,Debit Card,2568.54,0,2568.54,2,5137.08,Enterprise,0,0.335,0
North America,HP,All-in-One,M2,NVIDIA RTX 3060,32,1024,Windows 10,Blue,Online,Bank Transfer,1229.46,0,1229.46,1,1229.46,Student,1,0.44,1
Europe,HP,Laptop,Ryzen 5,NVIDIA RTX 3060,16,512,Linux,Black,Retail Store,PayPal,1352.17,20,1081.74,2,2163.48,Professional,1,0.485,1
North America,Razer,All-in-One,i9,NVIDIA RTX 3060,8,2048,macOS,White,Online,Credit Card,2347.35,0,2347.35,1,2347.35,Professional,0,0.4225,1
North America,Acer,Laptop,M1,AMD Radeon Vega,4,1024,Windows 11,White,Online,Bank Transfer,905.05,5,859.8,1,859.8,Gamer,1,0.3925,1
North America,Samsung,All-in-One,Ryzen 5,Intel Iris,8,256,macOS,Gray,Reseller,PayPal,1183.4,20,946.72,1,946.72,Gamer,0,0.3975,1
North America,Apple,Gaming Laptop,Ryzen 3,NVIDIA RTX 2060,4,2048,macOS,Blue,Reseller,PayPal,981.65,5,932.57,2,1865.14,Enterprise,1,0.455,1
Asia-Pacific,Dell,All-in-One,i9,NVIDIA RTX 3060,16,256,Linux,Silver,Online,PayPal,1359.72,15,1155.76,3,3467.28,Student,0,0.395,1
Asia-Pacific,Dell,Laptop,Ryzen 3,NVIDIA GTX 1650,8,1024,Windows 10,Black,Retail Store,Bank Transfer,951.66,15,808.91,1,808.91,Professional,1,0.4025,1
Asia-Pacific,MSI,Desktop,M2,NVIDIA RTX 2060,4,1024,Windows 11,Black,Retail Store,Bank Transfer,711.2,0,711.2,1,711.2,Professional,0,0.3925,1
Asia-Pacific,HP,Laptop,i5,NVIDIA RTX 3060,8,2048,Windows 10,Black,Reseller,Bank Transfer,2025.32,0,2025.32,3,6075.96,Enterprise,1,0.3375,0
North America,Asus,Desktop,M2,Intel UHD,4,512,Windows 11,White,Retail Store,Debit Card,1568.87,10,1411.98,2,2823.96,Gamer,0,0.3775,1
Asia-Pacific,Apple,Desktop,i5,AMD Radeon Vega,4,512,macOS,Blue,Online,Debit Card,692.5,10,623.25,3,1869.75,Professional,1,0.3625,1
Europe,HP,Laptop,Ryzen 5,Intel Iris,32,1024,Linux,Blue,Reseller,Bank Transfer,2923.62,10,2631.26,2,5262.52,Gamer,1,0.3175,0
Asia-Pacific,Microsoft,Gaming Laptop,i5,NVIDIA GTX 1650,4,1024,macOS,Blue,Online,Credit Card,1269.1,10,1142.19,3,3426.57,Student,0,0.3025,0
North America,Dell,Desktop,M2,NVIDIA RTX 2060,16,2048,macOS,White,Retail Store,Bank Transfer,2526.74,15,2147.73,1,2147.73,Professional,1,0.4275,1
North America,Dell,Gaming Laptop,i5,NVIDIA RTX 3060,32,256,macOS,Black,Online,Debit Card,1214.75,0,1214.75,3,3644.25,Student,1,0.465,1
Asia-Pacific,Razer,Gaming Laptop,i3,Intel Iris,16,1024,Windows 11,Gray,Online,Bank Transfer,675.8,10,608.22,1,608.22,Student,0,0.5225,1
Asia-Pacific,Apple,Gaming Laptop,Ryzen 5,Intel UHD,4,256,macOS,Black,Reseller,PayPal,733.31,10,659.98,2,1319.96,Gamer,0,0.4325,1
Europe,Apple,Gaming Laptop,Ryzen 3,Intel UHD,8,512,macOS,Gray,Online,PayPal,2596.65,0,2596.65,2,5193.3,Professional,1,0.35,1
Europe,Dell,Desktop,M2,NVIDIA RTX 3060,4,256,Windows 11,Black,Retail Store,Credit Card,1063.34,20,850.67,2,1701.34,Student,0,0.395,1
North America,Asus,Desktop,Ryzen 3,Intel UHD,4,2048,Linux,Gray,Retail Store,Debit Card,2181.49,10,1963.34,2,3926.68,Gamer,0,0.3675,1
Europe,Apple,Desktop,Ryzen 7,Intel UHD,4,1024,macOS,White,Online,Credit Card,2191.1,15,1862.43,2,3724.86,Gamer,0,0.3425,0
North America,Microsoft,Gaming Laptop,Ryzen 7,AMD Radeon Vega,8,256,Windows 10,Gray,Online,Credit Card,2199.82,15,1869.85,2,3739.7,Gamer,1,0.375,1
North America,Dell,Laptop,M1,NVIDIA RTX 2060,8,2048,macOS,Black,Online,Debit Card,2929.64,0,2929.64,1,2929.64,Gamer,1,0.4025,1
Asia-Pacific,Samsung,Desktop,Ryzen 9,AMD Radeon Vega,32,512,Linux,White,Retail Store,PayPal,2354.06,20,1883.25,1,1883.25,Professional,1,0.44,1
Asia-Pacific,Asus,Desktop,i7,AMD Radeon Vega,16,2048,Windows 11,White,Retail Store,Credit Card,2441.91,10,2197.72,2,4395.44,Gamer,0,0.415,1
Europe,Acer,Desktop,i9,NVIDIA RTX 3060,16,2048,Windows 11,Gray,Online,Debit Card,1262.32,10,1136.09,1,1136.09,Gamer,1,0.4175,1
Europe,HP,All-in-One,Ryzen 5,NVIDIA RTX 2060,16,256,Windows 11,Gray,Retail Store,PayPal,1776.71,15,1510.2,2,3020.4,Enterprise,1,0.3625,1
Europe,Lenovo,Desktop,i9,Intel Iris,4,1024,Windows 10,Blue,Reseller,PayPal,1640.85,0,1640.85,1,1640.85,Student,1,0.495,1
Europe,Apple,Gaming Laptop,Ryzen 7,Intel Iris,4,1024,macOS,Black,Reseller,Credit Card,647.25,10,582.52,3,1747.56,Enterprise,1,0.365,1
North America,HP,Gaming Laptop,Ryzen 7,NVIDIA RTX 2060,32,1024,macOS,Gray,Online,PayPal,2557.13,20,2045.7,3,6137.1,Gamer,0,0.4,1
Asia-Pacific,HP,Gaming Laptop,Ryzen 3,NVIDIA GTX 1650,16,512,Linux,Gray,Reseller,Credit Card,1211.14,5,1150.58,2,2301.16,Professional,0,0.3225,0
Asia-Pacific,HP,Desktop,Ryzen 5,Intel UHD,32,512,Windows 11,Blue,Reseller,Bank Transfer,1425.03,0,1425.03,3,4275.09,Enterprise,1,0.38,1
North America,Razer,Laptop,i3,Intel UHD,32,1024,Linux,White,Online,PayPal,1704.59,5,1619.36,3,4858.08,Enterprise,0,0.4075,1
North America,Apple,Gaming Laptop,M2,NVIDIA RTX 3060,32,256,macOS,Black,Retail Store,Bank Transfer,2691.0,15,2287.35,2,4574.7,Enterprise,0,0.345,0
Asia-Pacific,MSI,Desktop,i3,AMD Radeon Vega,32,2048,Windows 11,Black,Online,Debit Card,2968.0,20,2374.4,3,7123.2,Enterprise,0,0.5,1
Asia-Pacific,Lenovo,Laptop,Ryzen 7,NVIDIA RTX 3060,16,1024,macOS,Silver,Retail Store,Debit Card,1325.79,15,1126.92,3,3380.76,Enterprise,0,0.445,1
Asia-Pacific,Asus,All-in-One,M2,AMD Radeon Vega,32,256,macOS,Black,Reseller,Debit Card,2302.26,0,2302.26,1,2302.26,Enterprise,0,0.3275,0
Asia-Pacific,Asus,All-in-One,Ryzen 3,AMD Radeon Vega,32,2048,macOS,Blue,Retail Store,Credit Card,479.06,10,431.15,2,862.3,Student,1,0.385,1
Asia-Pacific,Dell,Gaming Laptop,i5,Intel UHD,4,1024,Windows 10,Black,Retail Store,Credit Card,1229.08,15,1044.72,1,1044.72,Gamer,0,0.44,1
Asia-Pacific,Acer,Gaming Laptop,i9,NVIDIA GTX 1650,8,1024,Windows 10,Black,Online,Bank Transfer,2188.27,10,1969.44,3,5908.32,Gamer,0,0.32,0
Europe,Dell,Laptop,Ryzen 5,NVIDIA GTX 1650,8,512,Windows 10,Black,Retail Store,PayPal,714.96,5,679.21,3,2037.63,Enterprise,1,0.415,1
Asia-Pacific,Razer,Laptop,Ryzen 7,NVIDIA RTX 2060,16,2048,macOS,Gray,Online,Bank Transfer,1852.43,15,1574.57,2,3149.14,Professional,0,0.3875,1
North America,Apple,Laptop,M1,AMD Radeon Vega,32,256,macOS,White,Reseller,Bank Transfer,986.93,0,986.93,3,2960.79,Professional,0,0.31,0
Asia-Pacific,Apple,Gaming Laptop,i3,AMD Radeon Vega,4,512,macOS,Black,Retail Store,Credit Card,891.59,0,891.59,2,1783.18,Gamer,1,0.355,1
Asia-Pacific,Lenovo,Desktop,Ryzen 9,NVIDIA GTX 1650,4,256,Windows 11,Silver,Online,PayPal,2182.13,5,2073.02,1,2073.02,Student,0,0.3425,0
North America,HP,Laptop,i7,NVIDIA RTX 3060,16,1024,Windows 10,Silver,Retail Store,Debit Card,575.47,5,546.7,2,1093.4,Student,0,0.3875,1
North America,Razer,Gaming Laptop,Ryzen 9,NVIDIA RTX 2060,4,256,macOS,Black,Retail Store,Bank Transfer,2137.6,20,1710.08,2,3420.16,Enterprise,0,0.285,0
North America,Dell,Laptop,Ryzen 7,Intel Iris,8,256,Windows 10,Gray,Reseller,Bank Transfer,1473.14,20,1178.51,2,2357.02,Professional,1,0.3425,0
Asia-Pacific,Lenovo,Laptop,M1,NVIDIA RTX 2060,32,2048,macOS,Gray,Retail Store,PayPal,1900.98,0,1900.98,2,3801.96,Professional,1,0.395,1
Asia-Pacific,HP,Gaming Laptop,M1,Intel UHD,8,1024,Windows 11,Blue,Retail Store,PayPal,1956.87,20,1565.5,3,4696.5,Enterprise,1,0.3925,1
Asia-Pacific,Acer,All-in-One,M1,AMD Radeon Vega,32,256,macOS,Silver,Reseller,Bank Transfer,2984.39,20,2387.51,3,7162.53,Gamer,0,0.46,1
Europe,Acer,All-in-One,i5,AMD Radeon Vega,32,256,Windows 10,Black,Online,Debit Card,2547.85,15,2165.67,2,4331.34,Gamer,0,0.5025,1
Europe,HP,Desktop,i3,NVIDIA RTX 2060,16,1024,macOS,Blue,Reseller,Debit Card,922.46,10,830.21,3,2490.63,Gamer,0,0.4625,1
North America,HP,Laptop,Ryzen 5,Intel UHD,4,1024,Windows 11,Blue,Online,Debit Card,1260.89,0,1260.89,1,1260.89,Enterprise,1,0.4375,1
North America,Lenovo,Laptop,i3,AMD Radeon Vega,4,1024,Windows 10,Silver,Retail Store,Credit Card,828.8,20,663.04,1,663.04,Gamer,1,0.3625,1
Europe,Asus,Laptop,i3,NVIDIA RTX 2060,8,512,Windows 11,Blue,Reseller,Bank Transfer,2062.82,20,1650.26,3,4950.78,Professional,0,0.47,1
Europe,Razer,Desktop,i7,NVIDIA RTX 3060,16,256,macOS,Silver,Online,PayPal,2605.75,20,2084.6,1,2084.6,Student,0,0.38,1
Asia-Pacific,Razer,Desktop,Ryzen 7,Intel Iris,16,1024,Windows 11,Black,Online,PayPal,2471.45,15,2100.73,1,2100.73,Professional,0,0.4025,1
Europe,Samsung,All-in-One,M2,NVIDIA GTX 1650,8,2048,Linux,Gray,Reseller,Bank Transfer,2030.12,0,2030.12,2,4060.24,Student,0,0.435,1
Europe,Microsoft,Gaming Laptop,i5,NVIDIA RTX 3060,8,256,Windows 11,Blue,Retail Store,Credit Card,2877.81,15,2446.14,3,7338.42,Gamer,1,0.3675,1
North America,Samsung,Gaming Laptop,Ryzen 5,NVIDIA RTX 2060,4,2048,Windows 10,Black,Reseller,Bank Transfer,820.25,5,779.24,2,1558.48,Enterprise,0,0.3125,0
North America,Apple,All-in-One,Ryzen 5,AMD Radeon Vega,4,512,macOS,Black,Reseller,Credit Card,2568.64,15,2183.34,3,6550.02,Enterprise,1,0.435,1
Europe,Microsoft,All-in-One,i7,Intel Iris,8,256,macOS,Black,Online,Bank Transfer,1905.87,20,1524.7,1,1524.7,Professional,0,0.3275,0
Europe,HP,Gaming Laptop,M1,Intel UHD,4,2048,Windows 10,Blue,Retail Store,PayPal,1823.92,20,1459.14,3,4377.42,Enterprise,0,0.345,0
Europe,HP,All-in-One,Ryzen 9,Intel UHD,16,1024,Linux,Gray,Online,Credit Card,2611.15,20,2088.92,3,6266.76,Enterprise,0,0.48,1
Europe,Apple,All-in-One,Ryzen 7,Intel UHD,8,256,macOS,Blue,Retail Store,Bank Transfer,1537.14,20,1229.71,3,3689.13,Gamer,0,0.315,0
North America,Dell,All-in-One,i5,Intel Iris,8,512,Linux,Silver,Retail Store,Debit Card,1411.69,15,1199.94,1,1199.94,Professional,1,0.4075,1
Europe,Microsoft,Gaming Laptop,Ryzen 3,Intel Iris,4,1024,Windows 10,Gray,Reseller,Debit Card,2157.46,5,2049.59,1,2049.59,Professional,0,0.375,1
Europe,Dell,Desktop,i5,NVIDIA GTX 1650,8,512,Linux,Silver,Retail Store,PayPal,928.72,20,742.98,2,1485.96,Gamer,0,0.3475,0
Asia-Pacific,MSI,Desktop,Ryzen 9,NVIDIA GTX 1650,32,256,Windows 10,White,Online,Credit Card,1705.46,20,1364.37,3,4093.11,Gamer,0,0.305,0
North America,Samsung,All-in-One,M2,AMD Radeon Vega,16,256,Windows 10,Gray,Retail Store,Credit Card,2120.26,5,2014.25,2,4028.5,Professional,1,0.3975,1
North America,Samsung,All-in-One,i9,Intel Iris,4,2048,Windows 10,Black,Online,Bank Transfer,2175.67,20,1740.54,3,5221.62,Professional,1,0.35,1
Asia-Pacific,Microsoft,Laptop,Ryzen 9,AMD Radeon Vega,16,1024,Linux,Blue,Retail Store,Debit Card,1014.62,20,811.7,1,811.7,Enterprise,0,0.4525,1
Europe,Dell,All-in-One,i5,Intel Iris,8,256,Windows 10,White,Reseller,Credit Card,1594.25,20,1275.4,3,3826.2,Gamer,0,0.4775,1
Europe,Microsoft,Desktop,M2,AMD Radeon Vega,8,1024,Windows 11,White,Retail Store,Bank Transfer,2353.89,15,2000.81,2,4001.62,Gamer,1,0.425,1
Asia-Pacific,Acer,All-in-One,Ryzen 3,Intel Iris,4,256,Windows 10,Silver,Reseller,Credit Card,656.75,20,525.4,2,1050.8,Student,0,0.345,0
Europe,Asus,Desktop,Ryzen 9,NVIDIA GTX 1650,8,2048,Windows 10,Gray,Online,Credit Card,2048.0,20,1638.4,1,1638.4,Student,0,0.2825,0
Asia-Pacific,Lenovo,Desktop,i3,NVIDIA GTX 1650,32,512,Windows 11,White,Online,Debit Card,1090.53,20,872.42,1,872.42,Professional,0,0.4225,1
North America,Apple,Gaming Laptop,i3,Intel Iris,4,2048,macOS,Gray,Retail Store,Bank Transfer,1732.84,0,1732.84,2,3465.68,Student,0,0.375,1
Asia-Pacific,Acer,Laptop,i3,Intel Iris,32,512,Windows 11,Silver,Retail Store,PayPal,2276.77,20,1821.42,3,5464.26,Professional,1,0.4725,1
Asia-Pacific,HP,All-in-One,i5,AMD Radeon Vega,32,512,Windows 11,Silver,Retail Store,Credit Card,574.13,10,516.72,2,1033.44,Gamer,0,0.3,0
North America,MSI,Gaming Laptop,Ryzen 9,NVIDIA RTX 3060,16,2048,macOS,Black,Retail Store,Bank Transfer,1753.55,5,1665.87,2,3331.74,Enterprise,0,0.4525,1
North America,Microsoft,All-in-One,M2,Intel UHD,32,512,Windows 11,Gray,Reseller,Credit Card,2474.02,20,1979.22,1,1979.22,Enterprise,0,0.4325,1
Asia-Pacific,Razer,Desktop,M1,AMD Radeon Vega,16,1024,Linux,White,Online,Bank Transfer,2021.02,20,1616.82,3,4850.46,Gamer,1,0.36,1
Europe,Razer,Gaming Laptop,M2,AMD Radeon Vega,32,512,Linux,Blue,Retail Store,PayPal,1879.59,15,1597.65,1,1597.65,Student,1,0.47,1
Europe,Lenovo,Desktop,M1,Intel UHD,8,1024,Linux,Blue,Reseller,Debit Card,845.68,5,803.4,1,803.4,Enterprise,0,0.44,1
North America,Lenovo,Desktop,M1,AMD Radeon Vega,16,512,Windows 11,Blue,Retail Store,Bank Transfer,2390.01,15,2031.51,2,4063.02,Gamer,1,0.375,1
Europe,MSI,Desktop,Ryzen 3,NVIDIA RTX 2060,4,1024,Windows 10,Black,Online,Bank Transfer,2933.56,0,2933.56,1,2933.56,Student,0,0.355,1
North America,Razer,Desktop,i9,AMD Radeon Vega,4,2048,Linux,White,Online,Bank Transfer,2567.13,5,2438.77,2,4877.54,Student,1,0.375,1
Asia-Pacific,Acer,Desktop,i3,NVIDIA GTX 1650,32,256,Linux,Blue,Retail Store,PayPal,2901.9,5,2756.8,2,5513.6,Gamer,0,0.4175,1
Asia-Pacific,Acer,Gaming Laptop,Ryzen 9,NVIDIA RTX 3060,32,1024,Linux,Blue,Online,PayPal,2683.2,0,2683.2,2,5366.4,Gamer,0,0.3225,0
Asia-Pacific,Microsoft,Laptop,i9,AMD Radeon Vega,16,2048,Windows 11,Black,Retail Store,PayPal,1075.8,20,860.64,2,1721.28,Student,1,0.4075,1
Europe,Apple,Laptop,M1,AMD Radeon Vega,4,256,macOS,Blue,Retail Store,Debit Card,1481.6,0,1481.6,2,2963.2,Student,0,0.4175,1
Asia-Pacific,Razer,Gaming Laptop,i9,AMD Radeon Vega,32,256,macOS,Silver,Retail Store,PayPal,1481.31,15,1259.11,2,2518.22,Student,1,0.38,1
North America,Acer,Desktop,Ryzen 9,AMD Radeon Vega,8,1024,Windows 11,Silver,Online,Credit Card,1855.25,20,1484.2,1,1484.2,Professional,1,0.415,1
Europe,MSI,All-in-One,i9,NVIDIA RTX 2060,8,256,Windows 11,Blue,Reseller,Debit Card,1284.04,15,1091.43,2,2182.86,Gamer,1,0.3975,1
Asia-Pacific,HP,Gaming Laptop,i3,Intel UHD,8,256,macOS,Black,Online,Bank Transfer,1571.28,5,1492.72,3,4478.16,Professional,0,0.385,1
North America,HP,Laptop,M2,Intel UHD,4,1024,macOS,Black,Reseller,PayPal,1993.24,15,1694.25,1,1694.25,Professional,0,0.4525,1
Europe,Asus,Gaming Laptop,i7,Intel UHD,32,512,Windows 11,Blue,Online,PayPal,1133.77,20,907.02,2,1814.04,Student,1,0.335,0
Europe,Dell,Desktop,i5,Intel UHD,4,2048,Windows 11,Gray,Retail Store,Credit Card,1191.02,5,1131.47,1,1131.47,Student,1,0.49,1
North America,Razer,Gaming Laptop,Ryzen 9,NVIDIA GTX 1650,32,512,macOS,Gray,Online,Bank Transfer,2747.55,20,2198.04,1,2198.04,Enterprise,0,0.4475,1
Asia-Pacific,Samsung,All-in-One,i5,Intel Iris,4,1024,macOS,Blue,Reseller,Bank Transfer,1589.58,5,1510.1,3,4530.3,Enterprise,0,0.385,1
North America,Asus,Gaming Laptop,M2,NVIDIA RTX 3060,4,256,Linux,Blue,Reseller,Debit Card,542.48,0,542.48,2,1084.96,Enterprise,0,0.3475,0
Asia-Pacific,HP,Gaming Laptop,i7,Intel Iris,16,512,macOS,Black,Online,Bank Transfer,1041.96,5,989.86,3,2969.58,Student,0,0.375,1
Europe,Lenovo,Laptop,M1,Intel UHD,8,512,Windows 11,Black,Online,Bank Transfer,1819.43,5,1728.46,1,1728.46,Enterprise,0,0.3775,1
North America,Microsoft,Gaming Laptop,Ryzen 9,Intel UHD,8,256,Linux,Gray,Reseller,Bank Transfer,956.06,10,860.45,2,1720.9,Enterprise,1,0.3675,1
Asia-Pacific,Razer,Desktop,Ryzen 7,NVIDIA GTX 1650,16,1024,macOS,Blue,Online,Bank Transfer,2720.03,0,2720.03,1,2720.03,Enterprise,0,0.365,1
Asia-Pacific,Asus,All-in-One,Ryzen 3,Intel UHD,4,2048,macOS,White,Reseller,Bank Transfer,1663.72,20,1330.98,1,1330.98,Professional,0,0.375,1
Europe,Apple,Gaming Laptop,i7,Intel Iris,4,1024,macOS,Silver,Reseller,Credit Card,1165.52,20,932.42,3,2797.26,Professional,1,0.35,1
Europe,Dell,Laptop,Ryzen 5,NVIDIA RTX 2060,16,1024,Windows 11,Blue,Reseller,Bank Transfer,1688.49,10,1519.64,3,4558.92,Student,0,0.445,1
Asia-Pacific,Samsung,Laptop,Ryzen 3,NVIDIA RTX 2060,32,1024,macOS,Black,Retail Store,Debit Card,1962.34,5,1864.22,1,1864.22,Student,1,0.4825,1
Asia-Pacific,Lenovo,Gaming Laptop,i7,AMD Radeon Vega,8,2048,Windows 11,Silver,Online,Bank Transfer,922.78,15,784.36,2,1568.72,Gamer,0,0.3925,1
Europe,HP,Laptop,i3,Intel UHD,32,2048,macOS,Gray,Reseller,Debit Card,2353.12,20,1882.5,3,5647.5,Gamer,1,0.4,1
Europe,Samsung,All-in-One,Ryzen 3,AMD Radeon Vega,8,1024,Windows 11,Blue,Retail Store,Bank Transfer,2002.75,5,1902.61,3,5707.83,Gamer,0,0.3675,1
Asia-Pacific,Acer,Laptop,Ryzen 5,NVIDIA RTX 2060,32,256,macOS,Silver,Online,Bank Transfer,2381.14,5,2262.08,3,6786.24,Professional,0,0.5,1
North America,Microsoft,Desktop,Ryzen 9,NVIDIA GTX 1650,8,256,Windows 11,Gray,Reseller,PayPal,734.59,0,734.59,1,734.59,Enterprise,1,0.48,1
Asia-Pacific,Acer,Desktop,i7,NVIDIA RTX 3060,32,2048,macOS,Silver,Retail Store,Credit Card,1791.02,20,1432.82,1,1432.82,Professional,1,0.445,1
Asia-Pacific,Asus,Gaming Laptop,i5,AMD Radeon Vega,16,512,Windows 11,Blue,Online,Credit Card,2717.74,5,2581.85,3,7745.55,Student,0,0.45,1
Europe,Samsung,Desktop,Ryzen 3,NVIDIA RTX 3060,8,1024,Windows 10,Silver,Retail Store,Debit Card,1240.14,10,1116.13,1,1116.13,Student,0,0.3675,1
Asia-Pacific,Lenovo,All-in-One,Ryzen 3,Intel UHD,32,1024,Linux,White,Online,Credit Card,2359.2,0,2359.2,1,2359.2,Professional,1,0.45,1
Asia-Pacific,HP,Desktop,M1,NVIDIA RTX 2060,8,256,Windows 11,White,Online,Bank Transfer,1378.15,5,1309.24,1,1309.24,Enterprise,0,0.4875,1
North America,Asus,Desktop,Ryzen 5,NVIDIA RTX 2060,16,2048,macOS,White,Online,Bank Transfer,1389.64,5,1320.16,2,2640.32,Enterprise,0,0.4275,1
Europe,MSI,Desktop,i7,Intel UHD,16,2048,Linux,Silver,Reseller,Credit Card,498.2,0,498.2,2,996.4,Professional,1,0.285,0
North America,Dell,Desktop,i5,NVIDIA RTX 3060,4,512,macOS,Black,Online,Credit Card,626.02,15,532.12,2,1064.24,Student,1,0.4525,1
Europe,Lenovo,Gaming Laptop,M1,Intel Iris,8,256,Windows 10,White,Retail Store,Credit Card,2585.27,20,2068.22,1,2068.22,Gamer,0,0.41,1
North America,Razer,Gaming Laptop,Ryzen 5,NVIDIA GTX 1650,16,512,Linux,Black,Retail Store,PayPal,776.95,0,776.95,3,2330.85,Gamer,0,0.4025,1
North America,Dell,All-in-One,i5,NVIDIA RTX 3060,4,256,Linux,Gray,Retail Store,Debit Card,1000.66,5,950.63,1,950.63,Student,1,0.47,1
Asia-Pacific,Acer,Gaming Laptop,Ryzen 5,Intel UHD,8,256,macOS,White,Online,PayPal,2036.24,15,1730.8,1,1730.8,Professional,1,0.4225,1
North America,Acer,Laptop,Ryzen 3,Intel UHD,32,1024,Windows 11,White,Online,Debit Card,1328.56,5,1262.13,1,1262.13,Enterprise,1,0.36,1
North America,Microsoft,Gaming Laptop,i5,NVIDIA RTX 3060,8,2048,Windows 10,Black,Reseller,Credit Card,409.29,0,409.29,2,818.58,Gamer,0,0.475,1
North America,Lenovo,Laptop,i5,NVIDIA RTX 3060,16,256,Windows 10,White,Online,Bank Transfer,2126.55,10,1913.9,3,5741.7,Enterprise,0,0.33,0
North America,HP,Gaming Laptop,Ryzen 9,NVIDIA GTX 1650,32,1024,Linux,Black,Reseller,PayPal,2703.86,5,2568.67,2,5137.34,Student,0,0.405,1
North America,Apple,Desktop,M2,AMD Radeon Vega,32,2048,macOS,Black,Online,Bank Transfer,1837.89,10,1654.1,2,3308.2,Gamer,0,0.375,1
Asia-Pacific,Asus,All-in-One,Ryzen 3,Intel Iris,4,256,Windows 11,Silver,Online,Bank Transfer,1440.41,0,1440.41,3,4321.23,Gamer,0,0.3925,1
Asia-Pacific,Acer,Desktop,M2,NVIDIA GTX 1650,8,2048,Linux,White,Retail Store,PayPal,2096.79,10,1887.11,3,5661.33,Gamer,0,0.4325,1
Europe,Microsoft,Laptop,i5,Intel UHD,16,2048,Windows 10,Black,Online,Credit Card,2384.07,10,2145.66,2,4291.32,Gamer,1,0.44,1
Asia-Pacific,HP,All-in-One,Ryzen 7,AMD Radeon Vega,8,256,macOS,Silver,Reseller,Bank Transfer,689.68,5,655.2,1,655.2,Enterprise,0,0.375,1
North America,Apple,Laptop,i9,NVIDIA RTX 2060,4,512,macOS,Blue,Online,Credit Card,2276.71,10,2049.04,1,2049.04,Professional,1,0.49,1
Asia-Pacific,Razer,Gaming Laptop,i5,NVIDIA GTX 1650,16,512,Linux,Silver,Retail Store,Credit Card,2014.59,20,1611.67,3,4835.01,Enterprise,0,0.405,1
Asia-Pacific,HP,Laptop,i5,NVIDIA GTX 1650,32,256,Linux,White,Online,Credit Card,1845.42,5,1753.15,2,3506.3,Professional,0,0.44,1
Asia-Pacific,Lenovo,Laptop,Ryzen 3,Intel UHD,16,2048,Linux,Gray,Online,Debit Card,1379.05,5,1310.1,2,2620.2,Gamer,0,0.4,1
North America,Razer,Desktop,Ryzen 7,NVIDIA GTX 1650,8,256,macOS,White,Reseller,PayPal,598.26,20,478.61,1,478.61,Student,1,0.4175,1
Asia-Pacific,Razer,Laptop,Ryzen 5,Intel UHD,32,256,Windows 10,Gray,Reseller,PayPal,2097.56,20,1678.05,1,1678.05,Professional,0,0.4,1
Europe,HP,All-in-One,i9,Intel UHD,16,2048,Windows 10,White,Retail Store,Bank Transfer,2985.27,0,2985.27,3,8955.81,Enterprise,1,0.29,0
Asia-Pacific,MSI,Desktop,M1,Intel UHD,16,2048,macOS,Black,Retail Store,PayPal,1865.34,10,1678.81,2,3357.62,Professional,1,0.4675,1
Asia-Pacific,MSI,All-in-One,M2,NVIDIA GTX 1650,4,2048,Windows 10,Gray,Online,Bank Transfer,846.13,5,803.82,1,803.82,Student,0,0.35,1
Asia-Pacific,Samsung,All-in-One,i5,Intel UHD,16,2048,macOS,Gray,Retail Store,Bank Transfer,2935.59,0,2935.59,3,8806.77,Gamer,0,0.4,1
North America,Acer,Laptop,i3,NVIDIA RTX 3060,8,1024,Windows 10,White,Online,Debit Card,1828.35,10,1645.51,1,1645.51,Student,0,0.285,0
North America,Dell,All-in-One,i3,AMD Radeon Vega,4,512,Linux,Black,Retail Store,Bank Transfer,2135.77,10,1922.19,3,5766.57,Gamer,0,0.4375,1
Asia-Pacific,Acer,Desktop,M2,NVIDIA RTX 3060,32,2048,Windows 11,Gray,Online,PayPal,1465.48,20,1172.38,1,1172.38,Gamer,0,0.43,1
North America,Acer,All-in-One,Ryzen 7,NVIDIA GTX 1650,32,512,Windows 11,Blue,Retail Store,Debit Card,1539.14,5,1462.18,1,1462.18,Professional,0,0.3975,1
Europe,Microsoft,All-in-One,Ryzen 7,NVIDIA RTX 3060,8,2048,macOS,Gray,Online,Bank Transfer,2816.14,0,2816.14,3,8448.42,Professional,0,0.33,0
Europe,Acer,Gaming Laptop,Ryzen 5,NVIDIA RTX 2060,4,1024,Windows 10,White,Retail Store,Credit Card,2827.82,10,2545.04,1,2545.04,Enterprise,0,0.3325,0
